asof_utc,sku,asin,sale_status,merchant_status,in_stock_flag,writer_mode,parked_flag,park_reason_codes,cpt_tier
2026-02-18T06:42:51Z,MU-A667-UQ3J,B081TGZQVR,discontinued,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DISCONTINUED,PARKED
2026-02-18T06:42:51Z,MV-UNOG-CTUU,B00FO70GG2,discontinued,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DISCONTINUED,PARKED
2026-02-18T06:42:51Z,MW-1ILH-TLS4,B0CDH5Y3N9,dropped,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,MW-9K5M-VKW8,B0073TTHBY,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,MW-RSG9-3S2C,B07DRLVHM2,,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,MY-85FY-TSON,B0CKS4H64X,dropped,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,MY-KL21-NMV5,B0913SVFD3,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,MY-XMO2-EXY1,B0042SNS7S,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,N0-JAU8-SI40,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,N2-I82D-3I3Q,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,N4-5C3G-RJS1,B000MQ663C,dropped,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,N7-A24N-WJA7,B09NM9TVYX,,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,N9-IOWG-NGD9,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,NB-UWOU-68PW,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,NC-MA70-7OJ9,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,NN-TSZ1-X2RD,B093FQYQJH,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,NO-N6RP-Y30Q,B07NJCFPKF,dropped,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,NX-0OE3-AD7U,B083G9XHT9,discontinued,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DISCONTINUED,PARKED
