order_id_norm,sb_cogs,sb_cogs_abs,Order ID,our_cogs_abs,diff
203-8434168-9066722,-4.58,4.58,203-8434168-9066722,4.79,0.21
204-5796464-2049917,-4.58,4.58,204-5796464-2049917,4.79,0.21
206-5269607-7055529,-4.58,4.58,206-5269607-7055529,4.79,0.21
205-1121126-4417101,-4.58,4.58,205-1121126-4417101,4.79,0.21
205-2701833-2266743,-3.99,3.99,205-2701833-2266743,3.79,-0.2
206-8010686-7135507,-4.36,4.36,206-8010686-7135507,4.56,0.2
204-0525033-3184331,-3.99,3.99,204-0525033-3184331,3.79,-0.2
204-9974290-9785117,-3.99,3.99,204-9974290-9785117,3.79,-0.2
026-7448335-1143530,-2.74,2.74,026-7448335-1143530,2.93,0.19
204-6019203-7945114,-2.74,2.74,204-6019203-7945114,2.93,0.19
026-3293359-5197950,-2.74,2.74,026-3293359-5197950,2.93,0.19
204-7679253-2037956,-2.74,2.74,204-7679253-2037956,2.93,0.19
203-2491056-8259551,-2.74,2.74,203-2491056-8259551,2.93,0.19
202-2469264-9419566,-2.74,2.74,202-2469264-9419566,2.93,0.19
026-9109072-3652341,-2.74,2.74,026-9109072-3652341,2.93,0.19
