sku,lot_id,sent_to_fba,existing_tokens,tokens_created,cost_per_unit,order_date
79-CPJ6-DSG6,79-CPJ6-DSG6-250825-row817,7,0,7,13.65,25/08/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z-060825-row815,1000,0,1000,2.1,06/08/25
0G-JB6S-PN34,0G-JB6S-PN34-040825-row813,50,0,50,2.74,04/08/25
8R-E0Y9-0LAU,8R-E0Y9-0LAU-040825-row811,7,0,7,34.91,04/08/25
ZT-QPY3-P24I,ZT-QPY3-P24I-040825-row810,7,0,7,34.91,04/08/25
DV-USYD-8WR2,DV-USYD-8WR2-040825-row809,3,0,3,20.62,04/08/25
L1-54EX-56YC,L1-54EX-56YC-040825-row808,18,0,18,5.35,04/08/25
51-79LN-GGLK,51-79LN-GGLK-040825-row807,6,0,6,1.43,04/08/25
T8-6UWL-I3E1,T8-6UWL-I3E1-040825-row806,100,0,100,1.48,04/08/25
RW-AZK6-O4M2,RW-AZK6-O4M2-040825-row805,48,0,48,0.52,04/08/25
GK-YI4S-C158,GK-YI4S-C158-040825-row804,13,0,13,2.58,04/08/25
7L-OT45-7LYB,7L-OT45-7LYB-040825-row803,45,0,45,1.16,04/08/25
MW-9K5M-VKW8,MW-9K5M-VKW8-040825-row802,145,0,145,13.65,04/08/25
WJ-YHKC-EES5,WJ-YHKC-EES5-040825-row801,5,0,5,2.09,04/08/25
94-X6R7-SCOW,94-X6R7-SCOW-040825-row800,6,0,6,2.82,04/08/25
3T-6QPR-E2MV,3T-6QPR-E2MV-040825-row799,48,0,48,4.65,04/08/25
XE-YPAI-HX9F,XE-YPAI-HX9F-040825-row798,32,0,32,4.79,04/08/25
XH-0LAE-FQO5,XH-0LAE-FQO5-040825-row797,160,0,160,2.96,04/08/25
0H-5V53-GPG4,0H-5V53-GPG4-040825-row796,100,0,100,4.85,04/08/25
BB-ZT14-1QQA,BB-ZT14-1QQA-040825-row795,20,0,20,3.17,04/08/25
SZ-UL4K-SE7W,SZ-UL4K-SE7W-040825-row794,5,0,5,3.17,04/08/25
GJ-2OZK-0GCA,GJ-2OZK-0GCA-100725-row793,14,0,14,17.5,10/07/25
NX-0Q7A-XR6H,NX-0Q7A-XR6H-100725-row792,16,0,16,2.74,10/07/25
AK-OB6V-HIYD,AK-OB6V-HIYD-090725-row790,10,0,10,1.21,09/07/25
VL-48KZ-J3F2,VL-48KZ-J3F2-090725-row788,56,0,56,1.06,09/07/25
UR-UAT8-4JSI,UR-UAT8-4JSI-090725-row787,86,0,86,0.83,09/07/25
SE-IQQJ-EOU3,SE-IQQJ-EOU3-090725-row786,11,0,11,10.38,09/07/25
NX-YY01-TLFO,NX-YY01-TLFO-090725-row785,12,0,12,1.76,09/07/25
6Z-8POQ-K5XH,6Z-8POQ-K5XH-090725-row784,10,0,10,2.91,09/07/25
8L-INBX-OUTU,8L-INBX-OUTU-090725-row783,12,0,12,2.49,09/07/25
N4-5C3G-RJS1,N4-5C3G-RJS1-090725-row782,8,0,8,3.23,09/07/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z-090725-row781,1000,0,1000,2.1,09/07/25
DC-K5WH-R7F5,DC-K5WH-R7F5-090725-row778,500,0,500,0.63,09/07/25
79-CPJ6-DSG6,79-CPJ6-DSG6-090725-row777,6,0,6,13.65,09/07/25
LV-425G-BY4X,LV-425G-BY4X-090725-row776,46,0,46,16.38,09/07/25
6P-IWYA-X18B,6P-IWYA-X18B-090725-row775,100,0,100,4.31,09/07/25
SZ-UL4K-SE7W,SZ-UL4K-SE7W-090725-row774,30,0,30,3.08,09/07/25
RY-U14K-5XDR,RY-U14K-5XDR-230625-row773,7,0,7,1.7,23/06/25
A9-2Y9G-M2K7,A9-2Y9G-M2K7-230625-row772,73,0,73,1.52,23/06/25
UE-BZE5-I0WM,UE-BZE5-I0WM-230625-row771,8,0,8,0.89,23/06/25
QP-BCUW-E90M,QP-BCUW-E90M-230625-row770,18,0,18,13.76,23/06/25
CX-SMCH-4DYA,CX-SMCH-4DYA-230625-row769,21,0,21,3.95,23/06/25
MV-UNOG-CTUU,MV-UNOG-CTUU-230625-row768,30,0,30,1.5,23/06/25
OW-ONY2-KNM7,OW-ONY2-KNM7-230625-row766,23,0,23,2.51,23/06/25
U4-61J7-ERHI,U4-61J7-ERHI-230625-row765,3,0,3,16.28,23/06/25
B7-JEPF-6CU7,B7-JEPF-6CU7-230625-row764,33,0,33,0.89,23/06/25
VU-8KRA-QP5M,VU-8KRA-QP5M-230625-row763,100,0,100,4.32,23/06/25
9X-7TBD-NA16,9X-7TBD-NA16-230625-row762,90,0,90,1.99,23/06/25
L5-PF3B-WHU4,L5-PF3B-WHU4-190625-row761,15,0,15,17.5,19/06/25
3B-3H3V-Z93T,3B-3H3V-Z93T-190625-row760,50,0,50,1.6,19/06/25
GJ-2OZK-0GCA,GJ-2OZK-0GCA-190625-row759,5,0,5,17.5,19/06/25
0G-JB6S-PN34,0G-JB6S-PN34-190625-row758,10,0,10,2.74,19/06/25
NX-0Q7A-XR6H,NX-0Q7A-XR6H-190625-row757,30,0,30,2.74,19/06/25
WX-L5UA-UB1Q,WX-L5UA-UB1Q-190625-row756,802,0,802,1.72,19/06/25
MY-XMO2-EXY1,MY-XMO2-EXY1-190625-row755,10,0,10,9.8,19/06/25
